                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1675,                 4.8279,                 2.9191,                0.00013,                0.01087,                  9e-05,                  5e-05,                 4.2353,                 4.4159,                  2.969,                  5e-05,                  5e-05,                  5e-05
                      2,                 4.1204,                 4.7503,                 2.8045,                0.00028,                0.02174,                0.01198,                0.00719,                 3.0335,                  4.057,                 2.1479,             0.00011213,             0.00011213,             0.00011213
                      3,                 2.8825,                 4.1632,                 2.0064,                0.00544,                0.36114,                0.11175,                0.03052,                  2.788,                 3.7042,                 1.8734,             0.00017384,             0.00017384,             0.00017384
                      4,                 2.3521,                 3.6793,                 1.6889,                0.00667,                0.48397,                0.08577,                0.03531,                 2.4441,                 3.5501,                  1.581,             0.00023515,             0.00023515,             0.00023515
                      5,                 2.3706,                 3.3815,                 1.5868,                0.00678,                0.48234,                0.11196,                0.03674,                 2.5248,                 3.4815,                 1.6183,             0.00029604,             0.00029604,             0.00029604
                      6,                 2.1951,                 3.1281,                 1.5182,                0.00779,                0.53832,                0.18351,                0.06042,                 2.3942,                 3.3796,                 1.5688,             0.00035652,             0.00035652,             0.00035652
                      7,                 2.0873,                 2.8685,                 1.4546,                0.41907,                0.13224,                0.12602,                0.05479,                 2.1107,                 3.2698,                 1.4195,             0.00041659,             0.00041659,             0.00041659
                      8,                 1.9464,                 2.7355,                 1.3881,                0.65434,                0.09783,                0.15583,                0.06318,                 2.1502,                 3.2404,                 1.4606,             0.00047624,             0.00047624,             0.00047624
                      9,                 1.8978,                 2.6015,                  1.367,                0.75381,                 0.0598,                0.20627,                0.07532,                 2.1538,                 3.1279,                  1.514,             0.00053548,             0.00053548,             0.00053548
                     10,                 1.8043,                 2.4863,                 1.3433,                0.30958,                0.28202,                 0.2513,                0.09862,                  1.973,                 2.9293,                 1.4695,             0.00059431,             0.00059431,             0.00059431
                     11,                 1.8459,                 2.4551,                 1.3487,                0.15896,                 0.5621,                0.30853,                0.12084,                 2.1534,                  2.931,                 1.5265,             0.00065272,             0.00065272,             0.00065272
                     12,                 1.7774,                 2.3539,                 1.3295,                0.25663,                 0.1418,                0.17214,                0.08308,                 2.1498,                 3.0502,                 1.5187,             0.00071073,             0.00071073,             0.00071073
                     13,                 1.7932,                 2.2955,                 1.3427,                0.61099,                0.06813,                0.14633,                0.07138,                 2.0469,                 3.0781,                 1.4851,             0.00076832,             0.00076832,             0.00076832
                     14,                  1.777,                  2.332,                 1.3302,                0.71327,                0.06495,                0.11219,                0.05522,                 2.4308,                 3.4037,                 1.6085,              0.0008255,              0.0008255,              0.0008255
                     15,                 1.8895,                 2.2069,                  1.344,                 0.7955,                0.04413,                0.22504,                0.11607,                 2.2613,                 3.1961,                 1.5251,             0.00088227,             0.00088227,             0.00088227
                     16,                  1.684,                 2.0942,                  1.269,                0.72389,                0.11711,                0.24646,                0.11207,                 2.2174,                 3.0476,                  1.503,             0.00093862,             0.00093862,             0.00093862
                     17,                 1.6803,                 2.0533,                 1.2732,                0.65087,                0.20765,                0.25667,                0.08869,                 2.2189,                 2.9639,                 1.5654,             0.00099456,             0.00099456,             0.00099456
                     18,                 1.6978,                 2.0876,                  1.277,                0.74816,                0.25978,                0.28768,                0.10444,                 2.2315,                 2.8013,                 1.5379,              0.0010501,              0.0010501,              0.0010501
                     19,                 1.5977,                 1.9155,                 1.2557,                0.67447,                 0.3293,                0.37763,                0.14134,                 2.1504,                 2.6305,                 1.4952,              0.0011052,              0.0011052,              0.0011052
                     20,                 1.7038,                 1.9608,                 1.2849,                0.72305,                0.27853,                0.32134,                0.13809,                 2.1403,                 2.6867,                 1.5341,              0.0011599,              0.0011599,              0.0011599
                     21,                  1.583,                 1.9163,                 1.2494,                0.70563,                0.28804,                0.33764,                 0.1451,                 2.1828,                 2.7074,                 1.5791,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.6994,                 1.8324,                 1.2693,                 0.6608,                0.22565,                0.31227,                0.13643,                 2.2707,                 2.6981,                 1.5602,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.7058,                 1.8796,                 1.2543,                0.56478,                0.18419,                0.23741,                0.09776,                 2.4249,                 2.7706,                 1.5674,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.6381,                 1.7878,                 1.2566,                0.59408,                0.27467,                0.35259,                0.18253,                 2.0841,                 2.4758,                 1.4539,              0.0011551,              0.0011551,              0.0011551
                     25,                   1.62,                 1.8353,                 1.2465,                0.60488,                0.31153,                0.36857,                 0.1676,                 2.1355,                 2.4718,                 1.4627,               0.001151,               0.001151,               0.001151
                     26,                 1.5794,                 1.7451,                 1.2308,                0.56571,                 0.3917,                0.41235,                0.16746,                 2.1406,                 2.2825,                  1.422,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.6072,                 1.6741,                 1.2416,                0.55802,                0.49741,                0.44291,                0.19946,                 1.9145,                 2.1078,                 1.3608,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.5875,                 1.7139,                 1.1956,                0.59055,                0.38071,                 0.4228,                0.19539,                 1.9581,                  2.197,                 1.3272,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.4793,                 1.6131,                 1.1839,                0.55552,                0.49572,                0.53264,                0.24992,                 1.9454,                 2.1179,                 1.3393,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.5532,                 1.6157,                 1.1839,                0.65981,                0.57068,                0.62882,                0.35334,                 1.6967,                 1.8041,                 1.3032,              0.0011304,              0.0011304,              0.0011304
