                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5709,                 4.6825,                 4.2983,                      0,                      0,                      0,                      0,                 4.8503,                  4.509,                 3.1628,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 5.4393,                 4.6256,                 3.9644,                      0,                      0,                      0,                      0,                 4.8076,                 4.5077,                  3.157,              3.322e-05,              3.322e-05,              3.322e-05
                      3,                 5.4931,                 4.6107,                 4.0722,                      0,                      0,                      0,                      0,                 4.8196,                 4.5066,                 3.1858,             5.5183e-05,             5.5183e-05,             5.5183e-05
                      4,                 5.1221,                 4.5829,                 4.0837,                      0,                      0,                      0,                      0,                 4.7503,                  4.502,                 3.1604,                7.7e-05,                7.7e-05,                7.7e-05
                      5,                  5.617,                 4.6197,                 4.2512,                      0,                      0,                      0,                      0,                 4.4921,                 4.4824,                 2.8949,              9.867e-05,              9.867e-05,              9.867e-05
                      6,                 5.0274,                  4.534,                 3.3642,                      0,                      0,                      0,                      0,                 4.0953,                 4.4144,                 2.4547,             0.00012019,             0.00012019,             0.00012019
                      7,                 4.3824,                 4.3986,                 2.8161,                      0,                      0,                      0,                      0,                 3.6801,                 4.3076,                 2.1344,             0.00014157,             0.00014157,             0.00014157
                      8,                 3.9039,                  4.183,                 2.3177,                      0,                      0,                      0,                      0,                 3.4739,                 4.1853,                 2.1227,              0.0001628,              0.0001628,              0.0001628
                      9,                 3.6182,                  3.889,                  2.117,                      0,                      0,                      0,                      0,                  3.403,                 4.0798,                 1.9944,             0.00018388,             0.00018388,             0.00018388
                     10,                 3.5927,                 3.6711,                 2.0658,                0.00112,                0.00816,                0.00075,                0.00011,                 3.5326,                 3.9801,                 1.9467,             0.00020482,             0.00020482,             0.00020482
                     11,                 3.2761,                 3.5278,                  1.961,                0.00448,                0.03265,                0.00524,                 0.0013,                 3.4608,                 3.9517,                 1.8903,             0.00022561,             0.00022561,             0.00022561
                     12,                 2.9301,                 3.2853,                 1.8747,                0.00682,                 0.0849,                0.01151,                0.00394,                 3.1552,                 3.8841,                  1.851,             0.00024625,             0.00024625,             0.00024625
                     13,                 2.7917,                 2.9208,                 1.8691,                0.01043,                0.09388,                0.01732,                0.00563,                  2.798,                 3.7684,                  1.819,             0.00026675,             0.00026675,             0.00026675
                     14,                 2.7485,                 2.6001,                 1.8373,                0.01176,                0.12653,                0.05203,                0.01802,                 2.6482,                 3.3685,                  1.849,              0.0002871,              0.0002871,              0.0002871
                     15,                 2.6788,                 2.3992,                 1.7261,                0.92386,                0.05714,                0.07018,                0.01956,                 2.7534,                 3.1506,                 1.9357,              0.0003073,              0.0003073,              0.0003073
                     16,                 2.5988,                 2.1981,                  1.609,                0.88384,                0.06531,                0.06667,                0.01705,                 2.8963,                 3.1096,                 2.0421,             0.00032736,             0.00032736,             0.00032736
                     17,                  2.411,                 2.0572,                 1.6493,                0.85974,                0.08571,                0.04686,                0.01719,                 2.7444,                 2.9419,                 2.1336,             0.00034727,             0.00034727,             0.00034727
                     18,                 2.5077,                 2.1393,                 1.5513,                0.84142,                 0.0898,                0.03092,                0.01097,                 2.6098,                 2.8296,                 1.9662,             0.00036704,             0.00036704,             0.00036704
                     19,                 2.3167,                 2.0409,                 1.5659,                0.83714,                0.10612,                0.02855,                0.00792,                  2.532,                 2.8291,                 1.7454,             0.00038665,             0.00038665,             0.00038665
                     20,                 2.2954,                 2.0401,                 1.5861,                0.86432,                0.11837,                0.05649,                0.01988,                  2.177,                  2.621,                 1.5947,             0.00040612,             0.00040612,             0.00040612
                     21,                 2.1899,                 1.9013,                 1.4551,                0.86501,                0.12653,                0.06922,                0.02418,                 2.1623,                 2.5317,                 1.5171,             0.00042545,             0.00042545,             0.00042545
                     22,                 2.1012,                 1.9113,                 1.4851,                0.85955,                0.12653,                0.06532,                0.02547,                 2.2084,                 2.4454,                 1.4325,             0.00044462,             0.00044462,             0.00044462
                     23,                 2.1757,                 1.9861,                 1.4549,                0.86157,                0.10612,                0.13898,                0.05174,                 2.0877,                 2.3331,                 1.3755,             0.00046365,             0.00046365,             0.00046365
                     24,                 2.0855,                 1.9985,                 1.4149,                0.89284,                0.10204,                0.18928,                0.10065,                 1.8726,                 2.3141,                 1.3333,             0.00048254,             0.00048254,             0.00048254
                     25,                 2.0793,                 1.8617,                 1.3795,                 0.9014,                0.10612,                0.17689,                0.10029,                 1.7988,                 2.2136,                 1.3153,             0.00050127,             0.00050127,             0.00050127
                     26,                 2.0369,                 1.8739,                 1.3996,                0.89103,                0.10204,                0.16079,                0.07662,                  2.021,                  2.335,                 1.3549,             0.00051986,             0.00051986,             0.00051986
                     27,                  2.081,                 1.8579,                 1.3446,                0.89955,                0.10612,                0.17654,                0.08198,                 1.9666,                 2.2445,                 1.3363,             0.00053831,             0.00053831,             0.00053831
                     28,                  1.895,                 1.7402,                 1.3836,                0.89955,                0.10612,                0.17654,                0.08198,                 1.9666,                 2.2445,                 1.3363,             0.00055661,             0.00055661,             0.00055661
                     29,                  2.033,                 1.7513,                 1.4063,                0.90659,                0.09388,                0.18503,                0.08513,                 1.9829,                 2.2613,                 1.3477,             0.00057476,             0.00057476,             0.00057476
                     30,                 2.2357,                  1.785,                 1.3302,                 0.9567,                0.08865,                0.15863,                0.06998,                 2.0776,                 2.2432,                 1.4229,             0.00059276,             0.00059276,             0.00059276
                     31,                 1.8165,                 1.6638,                 1.2897,                 0.9567,                0.08865,                0.15863,                0.06998,                 2.0776,                 2.2432,                 1.4229,             0.00061062,             0.00061062,             0.00061062
                     32,                 1.8256,                 1.6963,                  1.318,                0.92381,                 0.1102,                0.16106,                0.08373,                 1.9933,                 2.2116,                 1.4275,             0.00062833,             0.00062833,             0.00062833
                     33,                 1.8891,                 1.6719,                  1.296,                0.91709,                0.10612,                0.20212,                0.08474,                 1.9559,                 2.2295,                  1.357,             0.00064589,             0.00064589,             0.00064589
                     34,                 2.0889,                 1.9719,                 1.4092,                0.91709,                0.10612,                0.20212,                0.08474,                 1.9559,                 2.2295,                  1.357,             0.00066331,             0.00066331,             0.00066331
                     35,                 1.9941,                 1.5631,                 1.2471,                0.91237,                0.12245,                0.26288,                0.13368,                 1.7539,                 2.0792,                 1.3178,             0.00068058,             0.00068058,             0.00068058
                     36,                 1.8041,                 1.5822,                 1.2841,                0.63189,                0.26992,                0.27714,                0.13441,                 1.6972,                 2.0614,                 1.2618,              0.0006977,              0.0006977,              0.0006977
                     37,                 1.8963,                 1.7039,                 1.2372,                0.63189,                0.26992,                0.27714,                0.13441,                 1.6972,                 2.0614,                 1.2618,             0.00071468,             0.00071468,             0.00071468
                     38,                 1.7398,                 1.6593,                 1.2769,                0.55617,                0.38338,                0.19662,                0.10544,                 1.7277,                 2.0604,                 1.2434,             0.00073151,             0.00073151,             0.00073151
                     39,                 1.9595,                 1.5433,                 1.2443,                0.61726,                0.35837,                0.22488,                0.12198,                 1.6337,                 1.9517,                 1.2304,             0.00074819,             0.00074819,             0.00074819
                     40,                 1.8658,                 1.5163,                 1.2063,                0.61726,                0.35837,                0.22488,                0.12198,                 1.6337,                 1.9517,                 1.2304,             0.00076473,             0.00076473,             0.00076473
                     41,                 1.7915,                 1.5293,                 1.3003,                0.63785,                0.31347,                0.24295,                0.11333,                  1.711,                  1.997,                 1.3035,             0.00078112,             0.00078112,             0.00078112
                     42,                  1.618,                 1.5164,                 1.3113,                0.66398,                0.33991,                0.27456,                0.12375,                  1.707,                 1.8858,                 1.2949,             0.00079737,             0.00079737,             0.00079737
                     43,                 1.6567,                 1.5048,                 1.2174,                0.66398,                0.33991,                0.27456,                0.12375,                  1.707,                 1.8858,                 1.2949,             0.00081346,             0.00081346,             0.00081346
                     44,                 1.7434,                 1.5743,                 1.3444,                0.72705,                0.33056,                0.29206,                0.16495,                 1.5214,                   1.78,                 1.2448,             0.00082941,             0.00082941,             0.00082941
                     45,                 1.5224,                 1.4236,                 1.2778,                0.72705,                0.33056,                0.29206,                0.16495,                 1.5214,                   1.78,                 1.2448,             0.00084522,             0.00084522,             0.00084522
                     46,                 1.7367,                 1.4361,                 1.2245,                0.70232,                0.31098,                0.32192,                0.19291,                 1.5105,                 1.7138,                 1.2442,             0.00086088,             0.00086088,             0.00086088
                     47,                 1.7175,                 1.4385,                 1.2278,                0.70232,                0.31098,                0.32192,                0.19291,                 1.5105,                 1.7138,                 1.2442,             0.00087639,             0.00087639,             0.00087639
                     48,                 1.7273,                 1.3706,                 1.2913,                0.69774,                0.34926,                0.33623,                0.20515,                 1.5029,                 1.6398,                 1.2394,             0.00089175,             0.00089175,             0.00089175
                     49,                 1.5653,                 1.4164,                 1.3086,                0.69774,                0.34926,                0.33623,                0.20515,                 1.5029,                 1.6398,                 1.2394,             0.00090697,             0.00090697,             0.00090697
