                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4461,                 4.6591,                 4.1423,                      0,                      0,                      0,                      0,                 4.9209,                 4.5002,                 3.1715,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 5.4049,                 4.5933,                 3.9646,                      0,                      0,                      0,                      0,                 4.9024,                 4.5013,                 3.1827,             3.3279e-05,             3.3279e-05,             3.3279e-05
                      3,                  5.422,                 4.5943,                 4.0438,                      0,                      0,                      0,                      0,                 4.9008,                 4.4997,                 3.2077,             5.5381e-05,             5.5381e-05,             5.5381e-05
                      4,                 5.2384,                 4.6093,                 3.9415,                      0,                      0,                      0,                      0,                 4.7849,                 4.4955,                 3.0406,             7.7415e-05,             7.7415e-05,             7.7415e-05
                      5,                 4.9793,                 4.5399,                 3.5405,                      0,                      0,                      0,                      0,                 4.3537,                 4.3947,                 2.5474,             9.9381e-05,             9.9381e-05,             9.9381e-05
                      6,                  4.894,                  4.419,                 3.0745,                      0,                      0,                      0,                      0,                 3.8723,                 4.2082,                 2.1773,             0.00012128,             0.00012128,             0.00012128
                      7,                 4.0208,                 4.2526,                 2.4334,                      0,                      0,                      0,                      0,                 3.4351,                 4.1488,                 2.0152,             0.00014311,             0.00014311,             0.00014311
                      8,                  3.407,                 3.9996,                 2.0821,                      0,                      0,                      0,                      0,                  3.287,                  4.105,                 1.9695,             0.00016487,             0.00016487,             0.00016487
                      9,                 3.2246,                 3.7306,                 2.0188,                0.00253,                0.01493,                 0.0048,                0.00088,                 3.3302,                 4.0941,                 1.9301,             0.00018657,             0.00018657,             0.00018657
                     10,                 3.0258,                 3.4187,                 1.9673,                  0.006,                0.03881,                0.00964,                 0.0024,                 3.0137,                 4.0115,                  1.791,              0.0002082,              0.0002082,              0.0002082
